Institute Name,Program Name,State/All India Seats,Seat Pool,OPEN,OPEN-PwD,GEN-EWS,GEN-EWS-PwD,SC,SC-PwD,ST,ST-PwD,OBC-NCL,OBC-NCL-PwD,Total (includes Female Supernumerary),Seat Capacity,Female Supernumerary
Indian Institute  of Technology Jodhpur,"Electronics Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,0,3,0,5,0,3,0,10,0,40,40,10
Indian Institute  of Technology Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,27,0,7,1,11,0,6,0,19,1,72,72,18
Indian Institute  of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,1,4,0,7,0,4,0,12,1,48,48,12
Indian Institute  of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,6,0,3,0,11,0,40,40,10
Indian Institute  of Technology Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,6,0,7,1,3,1,14,1,56,56,14
Indian Institute  of Technology Jodhpur,"Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,0,4,0,6,0,3,0,9,1,40,40,10
Indian Institute  of Technology Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",All India,Gender-Neutral,10,0,2,0,4,0,2,0,5,1,24,24,6
Indian Institute  of Technology Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",All India,Gender-Neutral,10,0,2,0,4,0,2,0,5,1,24,24,6
Indian Institute  of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,21,1,5,1,8,0,4,0,14,1,55,55,14
Indian Institute  of Technology Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,5,1,3,0,10,1,42,42,11
Indian Institute  of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,33,2,7,1,11,1,5,1,21,1,83,83,21
Indian Institute  of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,44,3,11,1,17,1,9,0,30,2,118,118,30
Indian Institute  of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,40,2,9,1,14,1,7,1,27,1,103,103,26
Indian Institute  of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,60,3,14,1,22,1,10,1,39,2,153,153,39
Indian Institute  of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,27,1,7,0,9,1,4,1,17,1,68,68,17
Indian Institute  of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,45,3,11,1,17,1,9,0,30,2,119,119,30
Indian Institute  of Technology Kanpur,"Chemistry (4 Years, Bachelor of Science)",All India,Gender-Neutral,14,1,4,0,6,0,3,0,10,1,39,39,10
Indian Institute  of Technology Kanpur,"Economics (4 Years, Bachelor of Science)",All India,Gender-Neutral,16,1,4,0,6,0,3,0,10,1,41,41,11
Indian Institute  of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",All India,Gender-Neutral,19,1,5,0,7,1,4,0,13,1,51,51,13
Indian Institute  of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",All India,Gender-Neutral,13,1,4,0,5,0,2,1,9,1,36,36,9
Indian Institute  of Technology Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",All India,Gender-Neutral,13,1,3,0,5,0,3,0,9,0,34,34,9
Indian Institute  of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",All India,Gender-Neutral,9,0,2,0,3,0,2,0,6,0,22,22,6
Indian Institute  of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,7,0,3,0,11,1,44,54,1
